tExp3,uExp3,iExp3,tExp4,uExp4,iExp4,tExp5,uExp5,iExp5,tExp6,uExp6,iExp6
42.8,2.9262385,-0.020186667,42.8,2.9482702,-0.018026667,42.8,2.9603637,-0.02812,42.8,2.8629469,-0.021633333
43,2.9218409,-0.02596,43,2.9438294,-0.02884,43,2.9559229,-0.02956,43,2.8579457,-0.023073333
43.2,2.9175079,-0.021633333,43.2,2.9394425,-0.023793333,43.2,2.9514822,-0.021633333,43.2,2.8529983,-0.02884
43.4,2.9131857,-0.020913333,43.4,2.9351632,-0.02596,43.4,2.947063,-0.023793333,43.4,2.8481372,-0.02812
43.6,2.9090575,-0.02884,43.6,2.9308841,-0.021633333,43.6,2.9427408,-0.024513333,43.6,2.8433192,-0.022353333
43.8,2.9048,-0.023793333,43.8,2.9266266,-0.020913333,43.8,2.9384725,-0.021633333,43.8,2.8385766,-0.02668
44,2.900661,-0.02596,44,2.9224768,-0.023073333,44,2.934247,-0.018746667,44,2.8338772,-0.023793333
44.2,2.8965436,-0.023793333,44.2,2.9182947,-0.022353333,44.2,2.9300649,-0.02668,44.2,2.8292316,-0.022353333
44.4,2.8925017,-0.021633333,44.4,2.9142097,-0.024513333,44.4,2.9259152,-0.02884,44.4,2.8246507,-0.02668
44.6,2.8885244,-0.022353333,44.6,2.9101462,-0.021633333,44.6,2.9218624,-0.022353333,44.6,2.8201669,-0.02884
44.8,2.8845579,-0.02596,44.8,2.9061258,-0.022353333,44.8,2.9178205,-0.020186667,44.8,2.8157369,-0.022353333
45,2.8806884,-0.0274,45,2.9020946,-0.025233333,45,2.9139079,-0.025233333,45,2.8113716,-0.0274
45.2,2.8768404,-0.019466667,45.2,2.8982035,-0.02884,45.2,2.910006,-0.021633333,45.2,2.8069955,-0.022353333
45.4,2.8731003,-0.020186667,45.4,2.8943448,-0.021633333,45.4,2.9061473,-0.022353333,45.4,2.8027164,-0.023073333
45.6,2.8693494,-0.023793333,45.6,2.8904753,-0.02668,45.6,2.9023856,-0.0274,45.6,2.7984373,-0.024513333
45.8,2.8656523,-0.020913333,45.8,2.8867028,-0.025233333,45.8,2.8986454,-0.018746667,45.8,2.7942229,-0.023793333
46,2.8619876,-0.02668,46,2.8829842,-0.02596,46,2.8949161,-0.025233333,46,2.7900839,-0.025233333
46.2,2.8583876,-0.019466667,46.2,2.8793087,-0.021633333,46.2,2.8913053,-0.020186667,46.2,2.7859557,-0.022353333
46.4,2.8548091,-0.02812,46.4,2.8756225,-0.020913333,46.4,2.8877483,-0.023073333,46.4,2.7819353,-0.018026667
46.6,2.851263,-0.02596,46.6,2.8720332,-0.022353333,46.6,2.8841914,-0.022353333,46.6,2.7779365,-0.024513333
46.8,2.847803,-0.022353333,46.8,2.8685086,-0.023793333,46.8,2.8806776,-0.02596,46.8,2.7739377,-0.0274
47,2.8443539,-0.024513333,47,2.8649625,-0.0274,47,2.8771854,-0.023793333,47,2.7700358,-0.023073333
47.2,2.8409156,-0.024513333,47.2,2.8614918,-0.0274,47.2,2.8736931,-0.021633333,47.2,2.7661232,-0.023073333
47.4,2.8375311,-0.023793333,47.4,2.8580858,-0.023073333,47.4,2.8702871,-0.023793333,47.4,2.7622861,-0.02884
47.6,2.8342113,-0.023073333,47.6,2.8547336,-0.020913333,47.6,2.8669242,-0.02812,47.6,2.7584812,-0.019466667
47.8,2.8309238,-0.023073333,47.8,2.8513707,-0.020913333,47.8,2.8635936,-0.021633333,47.8,2.7547411,-0.020913333
48,2.8276579,-0.025233333,48,2.8480509,-0.023793333,48,2.8603062,-0.022353333,48,2.7510117,-0.021633333
48.2,2.8244244,-0.020913333,48.2,2.8447204,-0.02812,48.2,2.8571049,-0.02596,48.2,2.747347,-0.022353333
48.4,2.8212339,-0.019466667,48.4,2.8414976,-0.022353333,48.4,2.8538714,-0.030286667,48.4,2.743747,-0.024513333
48.6,2.8181297,-0.02596,48.6,2.8383395,-0.023793333,48.6,2.8506486,-0.023073333,48.6,2.7401469,-0.02596
48.8,2.8150147,-0.02668,48.8,2.8351814,-0.02812,48.8,2.8474797,-0.024513333,48.8,2.7366223,-0.02668
49,2.8118997,-0.02884,49,2.8320987,-0.023073333,49,2.8443431,-0.02668,49,2.7331193,-0.022353333
49.2,2.8088386,-0.020913333,49.2,2.8289945,-0.021633333,49.2,2.8412174,-0.023793333,49.2,2.7296917,-0.02812
49.4,2.8058098,-0.025233333,49.4,2.8259442,-0.024513333,49.4,2.8381562,-0.020913333,49.4,2.726264,-0.024513333
49.6,2.8028026,-0.023073333,49.6,2.8229585,-0.016586667,49.6,2.8350951,-0.025233333,49.6,2.722901,-0.020913333
49.8,2.7998277,-0.024513333,49.8,2.8199513,-0.02596,49.8,2.8320664,-0.024513333,49.8,2.7195381,-0.019466667
50,2.7969391,-0.022353333,50,2.8170195,-0.020913333,50,2.8291238,-0.023793333,50,2.7162183,-0.020913333
50.2,2.7940181,-0.021633333,50.2,2.8140878,-0.023073333,50.2,2.8261705,-0.025233333,50.2,2.7129201,-0.025233333
50.4,2.7911618,-0.025233333,50.4,2.811156,-0.020186667,50.4,2.8232495,-0.020913333,50.4,2.7096758,-0.0274
50.6,2.7882839,-0.023793333,50.6,2.8082781,-0.021633333,50.6,2.8203932,-0.023073333,50.6,2.7064638,-0.020913333
50.8,2.7855462,-0.021633333,50.8,2.8054757,-0.023793333,50.8,2.8175045,-0.024513333,50.8,2.7032949,-0.0274
51,2.7827653,-0.021633333,51,2.8026733,-0.025233333,51,2.8147129,-0.018026667,51,2.7001799,-0.02884
51.2,2.7799844,-0.023793333,51.2,2.7998601,-0.023073333,51.2,2.8119536,-0.020186667,51.2,2.6970864,-0.024513333
51.4,2.777279,-0.024513333,51.4,2.7971008,-0.020913333,51.4,2.8092374,-0.024513333,51.4,2.6939714,-0.023793333
51.6,2.7745844,-0.020913333,51.6,2.7943199,-0.030286667,51.6,2.8065535,-0.022353333,51.6,2.6909211,-0.023073333
51.8,2.7718466,-0.020913333,51.8,2.7915929,-0.02596,51.8,2.8038805,-0.025233333,51.8,2.6879031,-0.02596
52,2.7691843,-0.021633333,52,2.7889522,-0.023073333,52,2.8010673,-0.02596,52,2.6849067,-0.020186667
52.2,2.766522,-0.023793333,52.2,2.7863114,-0.021633333,52.2,2.7984265,-0.025233333,52.2,2.6819426,-0.0274
52.4,2.7638705,-0.019466667,52.4,2.7836491,-0.022353333,52.4,2.7958289,-0.024513333,52.4,2.6790216,-0.025233333
52.6,2.7613375,-0.02956,52.6,2.7810946,-0.023793333,52.6,2.7932097,-0.02812,52.6,2.6761222,-0.023073333
52.8,2.7588046,-0.022353333,52.8,2.7785509,-0.023073333,52.8,2.790666,-0.023073333,52.8,2.6732227,-0.024513333
53,2.7562608,-0.030286667,53,2.7759964,-0.02812,53,2.788133,-0.025233333,53,2.6703664,-0.025233333
53.2,2.7538141,-0.02596,53.2,2.7734742,-0.023793333,53.2,2.7856863,-0.020913333,53.2,2.6675101,-0.02596
53.4,2.7513135,-0.023793333,53.4,2.7709951,-0.025233333,53.4,2.7831857,-0.025233333,53.4,2.6646969,-0.022353333
53.6,2.7488344,-0.022353333,53.6,2.7684945,-0.02668,53.6,2.7806419,-0.024513333,53.6,2.661916,-0.018026667
53.8,2.7464093,-0.024513333,53.8,2.7660585,-0.02812,53.8,2.778206,-0.022353333,53.8,2.6591352,-0.022353333
54,2.7440272,-0.022353333,54,2.7635795,-0.025233333,54,2.7757485,-0.024513333,54,2.6563866,-0.020913333
54.2,2.7416236,-0.019466667,54.2,2.7611543,-0.024513333,54.2,2.7732802,-0.023793333,54.2,2.6536597,-0.022353333
54.4,2.73922,-0.02812,54.4,2.7587399,-0.02812,54.4,2.7707903,-0.025233333,54.4,2.6509866,-0.023793333
54.6,2.7368379,-0.020186667,54.6,2.7563902,-0.02596,54.6,2.7683867,-0.023793333,54.6,2.6483135,-0.020913333
54.8,2.7345097,-0.0274,54.8,2.7540512,-0.023793333,54.8,2.7660047,-0.023793333,54.8,2.6456943,-0.023793333
55,2.7321924,-0.022353333,55,2.7517123,-0.023073333,55,2.7636549,-0.022353333,55,2.6430859,-0.023793333
55.2,2.7299396,-0.025233333,55.2,2.7493949,-0.0274,55.2,2.761316,-0.023073333,55.2,2.6405206,-0.023793333
55.4,2.7277839,-0.023073333,55.4,2.747056,-0.02668,55.4,2.7590094,-0.020913333,55.4,2.6379661,-0.022353333
55.6,2.7255526,-0.023073333,55.6,2.7448033,-0.020913333,55.6,2.7567028,-0.023793333,55.6,2.6354547,-0.018746667
55.8,2.7233537,-0.023073333,55.8,2.7425398,-0.020913333,55.8,2.7544932,-0.020913333,55.8,2.6329541,-0.019466667
56,2.7211549,-0.023073333,56,2.7403086,-0.020913333,56,2.7523051,-0.02668,56,2.6304642,-0.025233333
56.2,2.7189453,-0.021633333,56.2,2.7380559,-0.019466667,56.2,2.750074,-0.022353333,56.2,2.6279852,-0.024513333
56.4,2.7167896,-0.025233333,56.4,2.7358571,-0.025233333,56.4,2.7478967,-0.030286667,56.4,2.6255169,-0.024513333
56.6,2.7147525,-0.0274,56.6,2.7336367,-0.023793333,56.6,2.7457194,-0.019466667,56.6,2.6230809,-0.022353333
56.8,2.7126399,-0.020186667,56.8,2.7314486,-0.030286667,56.8,2.7435422,-0.020186667,56.8,2.6206772,-0.021633333
57,2.7105381,-0.025233333,57,2.7293468,-0.024513333,57,2.7413972,-0.021633333,57,2.618252,-0.025233333
57.2,2.708447,-0.02956,57.2,2.7271911,-0.02596,57.2,2.7392846,-0.024513333,57.2,2.6158808,-0.020186667
57.4,2.7063991,-0.023073333,57.4,2.725046,-0.023793333,57.4,2.7371936,-0.02596,57.4,2.6135418,-0.022353333
57.6,2.7043619,-0.02668,57.6,2.7229334,-0.021633333,57.6,2.7350702,-0.023073333,57.6,2.6112136,-0.021633333
57.8,2.7023356,-0.023073333,57.8,2.7208962,-0.024513333,57.8,2.7330007,-0.023793333,57.8,2.6089286,-0.023073333
58,2.7003416,-0.023793333,58,2.7188806,-0.025233333,58,2.7309528,-0.020186667,58,2.6066543,-0.02668
58.2,2.6983475,-0.02812,58.2,2.7168758,-0.019466667,58.2,2.7288726,-0.025233333,58.2,2.6043801,-0.025233333
58.4,2.6963427,-0.020913333,58.4,2.7148064,-0.021633333,58.4,2.7268678,-0.020186667,58.4,2.6021704,-0.023073333
58.6,2.6943702,-0.02596,58.6,2.71278,-0.02668,58.6,2.724852,-0.025233333,58.6,2.5999501,-0.021633333
58.8,2.6924085,-0.023073333,58.8,2.7107752,-0.022353333,58.8,2.7228148,-0.025233333,58.8,2.5977405,-0.024513333
59,2.6904253,-0.023793333,59,2.7088135,-0.025233333,59,2.7208531,-0.020186667,59,2.5955416,-0.021633333
59.2,2.688539,-0.023073333,59.2,2.7068733,-0.023073333,59.2,2.7189453,-0.021633333,59.2,2.5933752,-0.021633333
59.4,2.6866528,-0.025233333,59.4,2.7049009,-0.02596,59.4,2.717016,-0.024513333,59.4,2.5912626,-0.024513333
59.6,2.6847773,-0.02596,59.6,2.7029823,-0.023073333,59.6,2.7151082,-0.018026667,59.6,2.5891069,-0.02956
59.8,2.6829342,-0.021633333,59.8,2.7011176,-0.025233333,59.8,2.7132327,-0.0274,59.8,2.5869835,-0.02668
