tExp3,uExp3,iExp3,tExp4,uExp4,iExp4,tExp5,uExp5,iExp5,tExp6,uExp6,iExp6
10.2,8.5938403,1.8119866,10.2,8.3929605,-0.021633333,10.2,8.6787753,1.88698,10.2,8.5991973,1.8112666
10.4,8.2090678,-0.023793333,10.4,8.1116512,-0.025233333,10.4,8.2693414,-0.020913333,10.4,8.6093507,1.8552533
10.6,7.967833,-0.024513333,10.6,7.9193834,-0.023073333,10.6,8.0270719,-0.023073333,10.6,8.6176717,1.8415533
10.8,7.7880469,-0.022353333,10.8,7.7602059,-0.020186667,10.8,7.8457876,-0.020186667,10.8,8.6243005,1.8228066
11,7.6347757,-0.020913333,11,7.6182414,-0.018746667,11,7.6905547,-0.018026667,11,8.633085,1.8091066
11.2,7.4959265,-0.021633333,11.2,7.4866893,-0.017306667,11.2,7.5496899,-0.020913333,11.2,8.6405546,1.77882
11.4,7.3659263,-0.024513333,11.4,7.3617765,-0.0274,11.4,7.4178142,-0.01514,11.4,8.6499966,1.7809866
11.6,7.2415633,-0.025233333,11.6,7.2410675,-0.021633333,11.6,7.2912955,-0.01514,11.6,8.6593524,1.79396
11.8,7.1207143,-0.021633333,11.8,7.1229346,-0.025233333,11.8,7.1685603,-0.022353333,11.8,8.6683956,1.7918
12,7.0025058,-0.025233333,12,7.0069358,-0.018026667,12,7.0482824,-0.018026667,12,8.673386,1.77594
12.2,6.8862808,-0.018746667,12.2,6.892597,-0.022353333,12.2,6.9299339,-0.023793333,12.2,8.6828711,1.77882
12.4,6.7723191,-0.021633333,12.4,6.7801659,-0.019466667,12.4,6.8136872,-0.023073333,12.4,8.6902113,1.7889133
12.6,6.6605994,-0.018026667,12.6,6.6696857,-0.022353333,12.6,6.69965,-0.02596,12.6,8.6996318,1.7672866
12.8,6.5511647,-0.024513333,12.8,6.5614474,-0.018026667,12.8,6.5881567,-0.018746667,12.8,8.7078233,1.7954066
13,6.4444354,-0.016586667,13,6.4558607,-0.025233333,13,6.4794118,-0.02812,13,8.7161443,1.7665666
13.2,6.34039,-0.024513333,13.2,6.352947,-0.020913333,13.2,6.3733939,-0.019466667,13.2,8.5852606,1.7478133
13.4,6.2393734,-0.023073333,13.4,6.2527388,-0.023793333,13.4,6.2703509,-0.021633333,13.4,8.2235973,-0.022353333
13.6,6.1411809,-0.021633333,13.6,6.1553655,-0.023073333,13.6,6.17038,-0.025233333,13.6,8.0160563,-0.018746667
13.8,6.045823,-0.023793333,13.8,6.0609992,-0.019466667,13.8,6.0739227,-0.023073333,13.8,7.8493337,-0.022353333
14,5.9541083,-0.023073333,14,5.9700713,-0.024513333,14,5.981626,-0.020913333,14,7.7027345,-0.025233333
14.2,5.8659935,-0.02812,14.2,5.8828729,-0.023793333,14.2,5.892843,-0.025233333,14.2,7.5680888,-0.022353333
14.4,5.7816191,-0.023793333,14.4,5.7991558,-0.0274,14.4,5.807811,-0.018746667,14.4,7.4406432,-0.019466667
14.6,5.7005104,-0.021633333,14.6,5.7187154,-0.025233333,14.6,5.7262712,-0.019466667,14.6,7.3177245,-0.018026667
14.8,5.6225168,-0.018026667,14.8,5.641196,-0.02596,14.8,5.6476847,-0.023793333,14.8,7.1981798,-0.020913333
15,5.5472177,-0.016586667,15,5.5663929,-0.020913333,15,5.5720839,-0.021633333,15,7.0807905,-0.018746667
15.2,5.47415,-0.020913333,15.2,5.4940256,-0.02668,15.2,5.4989299,-0.023073333,15.2,6.9654061,-0.023793333
15.4,5.403658,-0.023073333,15.4,5.4237492,-0.019466667,15.4,5.4278882,-0.022353333,15.4,6.8518325,-0.02668
15.6,5.3349662,-0.019466667,15.6,5.3558012,-0.017306667,15.6,5.3595737,-0.023073333,15.6,6.7400266,-0.02596
15.8,5.2687859,-0.022353333,15.8,5.2905586,-0.024513333,15.8,5.2939646,-0.02596,15.8,6.6303009,-0.022353333
16,5.2053649,-0.021633333,16,5.2279136,-0.02596,16,5.2317831,-0.023073333,16,6.522871,-0.023073333
16.2,5.1445739,-0.023073333,16.2,5.1678879,-0.023073333,16.2,5.1718759,-0.023793333,16.2,6.4180388,-0.02596
16.4,5.0862834,-0.019466667,16.4,5.1103627,-0.02596,16.4,5.1145232,-0.020913333,16.4,6.3157071,-0.024513333
16.6,5.0302457,-0.023793333,16.6,5.0550472,-0.02596,16.6,5.0595741,-0.023073333,16.6,6.2157252,-0.020913333
16.8,4.9763206,-0.024513333,16.8,5.0018442,-0.021633333,16.8,5.0068132,-0.0274,16.8,6.1186322,-0.020913333
17,4.9243248,-0.022353333,17,4.9505384,-0.0274,17,4.9559708,-0.020186667,17,6.0243845,-0.024513333
17.2,4.8742585,-0.020186667,17.2,4.9010863,-0.025233333,17.2,4.9069283,-0.023793333,17.2,5.9331763,-0.025233333
17.4,4.8260029,-0.022353333,17.4,4.8534343,-0.017306667,17.4,4.859535,-0.023073333,17.4,5.844943,-0.025233333
17.6,4.7793317,-0.018746667,17.6,4.8071727,-0.020186667,17.6,4.8138985,-0.020186667,17.6,5.7596308,-0.023793333
17.8,4.7341481,-0.023793333,17.8,4.7622585,-0.021633333,17.8,4.7698574,-0.018746667,17.8,5.6768946,-0.02596
18,4.6904194,-0.0274,18,4.718918,-0.02668,18,4.7271097,-0.021633333,18,5.5965189,-0.023073333
18.2,4.6481675,-0.023793333,18.2,4.6769462,-0.025233333,18.2,4.6857415,-0.02884,18.2,5.5184606,-0.01586
18.4,4.6072842,-0.025233333,18.4,4.6363003,-0.021633333,18.4,4.6455052,-0.021633333,18.4,5.4426548,-0.01442
18.6,4.5676515,-0.025233333,18.6,4.5969368,-0.017306667,18.6,4.6064219,-0.024513333,18.6,5.3693283,-0.02668
18.8,4.5291721,-0.023073333,18.8,4.5586729,-0.021633333,18.8,4.5685676,-0.019466667,18.8,5.2988581,-0.022353333
19,4.4918459,-0.02668,19,4.5215624,-0.0274,19,4.5318451,-0.022353333,19,5.2312334,-0.021633333
19.2,4.4556085,-0.020913333,19.2,4.4855297,-0.021633333,19.2,4.4960604,-0.02596,19.2,5.1660878,-0.020186667
19.4,4.4203626,-0.023793333,19.4,4.4505641,-0.025233333,19.4,4.4611163,-0.0274,19.4,5.1033243,-0.018026667
19.6,4.3861083,-0.023073333,19.6,4.4165578,-0.018746667,19.6,4.4272825,-0.020913333,19.6,5.0427812,-0.023793333
19.8,4.352587,-0.020186667,19.8,4.3834891,-0.02596,19.8,4.3943431,-0.023073333,19.8,4.984383,-0.023793333
20,4.3201867,-0.020913333,20,4.3512182,-0.021633333,20,4.3622554,-0.025233333,20,4.927871,-0.018746667
20.2,4.288821,-0.025233333,20.2,4.3198095,-0.02596,20.2,4.3309868,-0.031006667,20.2,4.8734393,-0.023793333
20.4,4.2582639,-0.022353333,20.4,4.2893061,-0.018026667,20.4,4.3006021,-0.022353333,20.4,4.820786,-0.024513333
20.6,4.2285151,-0.022353333,20.6,4.2596759,-0.022353333,20.6,4.2709933,-0.022353333,20.6,4.7698251,-0.023793333
20.8,4.1995962,-0.023793333,20.8,4.2308756,-0.023073333,20.8,4.2422901,-0.022353333,20.8,4.7205671,-0.017306667
