vdc,freq,zReal,zImag
1,100078.1,0.5531056,0.0357777
1,79453.13,0.5460396,0.0280065
1,63140.62,0.5443459,0.0213348
1,50203.12,0.5430753,0.015588
1,39890.62,0.5428109,0.0118556
1,31640.63,0.5432395,0.0081447
1,25171.88,0.5408809,0.0053762
1,20015.62,0.5361001,0.0026127
1,15890.62,0.5403678,0.0012687
1,12609.37,0.5446216,-0.0006051
1,10078.13,0.5436542,-0.0031163
1,8015.625,0.5437566,-0.0037984
1,6328.125,0.5463625,-0.0049937
1,5015.625,0.5468394,-0.0062117
1,3984.375,0.5494837,-0.0078524
1,3170.956,0.5472426,-0.0086272
1,2527.573,0.5506315,-0.0096282
1,1976.103,0.5534185,-0.0106794
1,1577.524,0.5531199,-0.0114726
1,1265.625,0.5560912,-0.0107433
1,998.264,0.5593768,-0.0128659
1,796.875,0.5614429,-0.0126991
1,627.7902,0.5640108,-0.0132331
1,505.5147,0.5598682,-0.0139228
1,397.9953,0.5641235,-0.0150931
1,315.5048,0.567135,-0.0160128
1,252.4038,0.569306,-0.0167113
1,198.6229,0.5741545,-0.0178455
1,158.3615,0.5749825,-0.0186693
1,125.558,0.5789288,-0.0196651
1,100.4464,0.5794333,-0.02066
1,79.00281,0.5835219,-0.0217738
1,63.3446,0.5868436,-0.0231027
1,50.22321,0.5929032,-0.0238974
1,38.42213,0.5991419,-0.0259688
1,31.25,0.6033793,-0.0258346
1,24.93351,0.6014187,-0.0272289
1,19.86229,0.6091232,-0.0262098
1,15.625,0.6143599,-0.0277243
1,12.40079,0.6199852,-0.0257728
1,9.93114,0.6242038,-0.0260871
1,7.944915,0.6294753,-0.023022
1,6.317385,0.633948,-0.0192625
1,5.008013,0.6368062,-0.0181294
1,3.945707,0.6374248,-0.0147852
1,3.158693,0.6398184,-0.0136718
1,2.504006,0.6377074,-0.0064673
1,1.998082,0.6418602,-0.0099858
1,1.584686,0.6487622,-0.004915
1,1.266892,0.64336,-0.0035645
1,0.999041,0.6491157,-0.0166696
1,0.7923428,0.6358156,-0.0057357
1,0.633446,0.6448116,-0.0071076
1,0.5040323,0.6440715,-0.0046247
1,0.400641,0.6542085,0.0168287
1,0.316723,0.6404137,-0.0214957
1,0.2520161,0.6344661,-0.00992
1,0.2003205,0.6446707,-0.0150157
1,0.1588983,0.6785541,-0.0152824
1,0.1260081,0.6467135,-0.0293425
1,0.1001603,0.6421129,-0.0263613
