vdc,freq,zReal,zImag
0.8,100078.1,0.5515405,0.0365117
0.8,79453.13,0.5443243,0.0283564
0.8,63140.62,0.542478,0.0212611
0.8,50203.12,0.5420942,0.0162577
0.8,39890.62,0.5398693,0.011928
0.8,31640.63,0.5399736,0.0086096
0.8,25171.88,0.541145,0.0056543
0.8,20015.62,0.5421492,0.003417
0.8,15890.62,0.5433095,0.0012543
0.8,12609.37,0.5447984,-0.0003647
0.8,10078.13,0.5446532,-0.0014315
0.8,8015.625,0.5461532,-0.0034037
0.8,6328.125,0.5472302,-0.0044965
0.8,5015.625,0.548921,-0.0051222
0.8,3984.375,0.5460197,-0.0068626
0.8,3170.956,0.5482869,-0.007973
0.8,2527.573,0.550823,-0.0091333
0.8,1976.103,0.5518785,-0.0100948
0.8,1577.524,0.5510409,-0.0114816
0.8,1265.625,0.5511807,-0.0099337
0.8,998.264,0.5536424,-0.0111025
0.8,796.875,0.556176,-0.0118459
0.8,627.7902,0.5582176,-0.0135009
0.8,505.5147,0.5618932,-0.0149092
0.8,397.9953,0.5640921,-0.0154422
0.8,315.5048,0.5673684,-0.0164512
0.8,252.4038,0.5677511,-0.0172218
0.8,198.6229,0.5711312,-0.0182703
0.8,158.3615,0.5746415,-0.0196439
0.8,125.558,0.5784339,-0.020978
0.8,100.4464,0.5823951,-0.0222939
0.8,79.00281,0.5867659,-0.0241033
0.8,63.3446,0.5849465,-0.0251724
0.8,50.22321,0.5880393,-0.0266059
0.8,38.42213,0.5946375,-0.0295057
0.8,31.25,0.5997502,-0.0316041
0.8,24.93351,0.606048,-0.0342079
0.8,19.86229,0.6046705,-0.0360159
0.8,15.625,0.6115372,-0.0374608
0.8,12.40079,0.6206555,-0.0388679
0.8,9.93114,0.6292586,-0.03863
0.8,7.944915,0.6374871,-0.038385
0.8,6.317385,0.6431675,-0.0357743
0.8,5.008013,0.6504842,-0.0318994
0.8,3.945707,0.6559361,-0.0300554
0.8,3.158693,0.660172,-0.0244078
0.8,2.504006,0.6667322,-0.0236471
0.8,1.998082,0.6721386,-0.0189626
0.8,1.584686,0.6717827,-0.0182241
0.8,1.266892,0.6715247,-0.0148195
0.8,0.999041,0.6676899,-0.0117904
0.8,0.7923428,0.6644315,-0.0058212
0.8,0.633446,0.681249,-0.0024593
0.8,0.5040323,0.6787639,-0.0062065
0.8,0.400641,0.677572,-0.0087768
0.8,0.316723,0.6954876,0.001959
0.8,0.2520161,0.6780107,-0.0101552
0.8,0.2003205,0.6866223,0.0008687
0.8,0.1588983,0.6749066,-0.0145375
0.8,0.1260081,0.6945999,-0.0095422
0.8,0.1001603,0.6767384,-0.0087782
