vdc,freq,zReal,zImag
-1.5,100078.1,0.5612403,0.0238624
-1.5,79453.13,0.5593126,0.0139835
-1.5,63140.62,0.5601752,0.0059887
-1.5,50203.12,0.5594617,-0.0008579
-1.5,39890.62,0.5615216,-0.0068489
-1.5,31640.63,0.5585188,-0.0109325
-1.5,25171.88,0.5629283,-0.0161787
-1.5,20015.62,0.560091,-0.0207991
-1.5,15890.62,0.570133,-0.0254168
-1.5,12609.37,0.5752655,-0.030938
-1.5,10078.13,0.5759736,-0.0350221
-1.5,8015.625,0.583667,-0.0415358
-1.5,6328.125,0.5915187,-0.0467122
-1.5,5015.625,0.5942314,-0.0510592
-1.5,3984.375,0.6054267,-0.0572837
-1.5,3170.956,0.6173131,-0.0643859
-1.5,2527.573,0.6313685,-0.0683409
-1.5,1976.103,0.6442194,-0.0695714
-1.5,1577.524,0.6612938,-0.0701443
-1.5,1265.625,0.6765726,-0.0667727
-1.5,998.264,0.6897696,-0.0643954
-1.5,796.875,0.6953843,-0.0567246
-1.5,627.7902,0.7036699,-0.0480977
-1.5,505.5147,0.7133964,-0.0406928
-1.5,397.9953,0.7168301,-0.0330913
-1.5,315.5048,0.7225395,-0.0260283
-1.5,252.4038,0.726832,-0.02004
-1.5,198.6229,0.7274455,-0.0148048
-1.5,158.3615,0.7294776,-0.0109618
-1.5,125.558,0.7245498,-0.0076253
-1.5,100.4464,0.7238128,-0.0049403
-1.5,79.00281,0.724408,-0.0029637
-1.5,63.3446,0.7258658,-0.0015849
-1.5,50.22321,0.7203031,0.000156
-1.5,38.42213,0.717687,0.0005206
-1.5,31.25,0.7193418,0.0011939
-1.5,24.93351,0.7216322,0.0016806
-1.5,19.86229,0.7230309,0.0013563
-1.5,15.625,0.7239712,0.0024569
-1.5,12.40079,0.7223012,0.0012943
-1.5,9.93114,0.7145709,0.0017011
-1.5,7.944915,0.7135251,0.0012002
-1.5,6.317385,0.715506,0.0008791
-1.5,5.008013,0.7197723,0.0008788
-1.5,3.945707,0.7221161,0.0003409
-1.5,3.158693,0.713217,-0.0009499
-1.5,2.504006,0.7216649,0.0010135
-1.5,1.998082,0.7230005,0.0010088
-1.5,1.584686,0.7182596,-0.0041775
-1.5,1.266892,0.7168691,0.0050253
-1.5,0.999041,0.7158193,-0.0050198
