vdc,freq,zReal,zImag
-1.1,100078.1,0.5538459,0.0426987
-1.1,79453.13,0.5498042,0.0297744
-1.1,63140.62,0.5482912,0.0202402
-1.1,50203.12,0.5477734,0.0120852
-1.1,39890.62,0.5485771,0.0055291
-1.1,31640.63,0.5493189,-0.0002058
-1.1,25171.88,0.5505003,-0.0054222
-1.1,20015.62,0.5521855,-0.0099037
-1.1,15890.62,0.5540478,-0.014816
-1.1,12609.37,0.5564504,-0.0196857
-1.1,10078.13,0.5588452,-0.0242089
-1.1,8015.625,0.5614099,-0.0292686
-1.1,6328.125,0.5648356,-0.0350695
-1.1,5015.625,0.5681427,-0.0418456
-1.1,3984.375,0.5716336,-0.0493967
-1.1,3170.956,0.5758457,-0.058319
-1.1,2527.573,0.5800849,-0.068337
-1.1,1976.103,0.586072,-0.0813524
-1.1,1577.524,0.5920035,-0.095884
-1.1,1265.625,0.5974044,-0.1127935
-1.1,998.264,0.6047733,-0.135599
-1.1,796.875,0.6125502,-0.1611547
-1.1,627.7902,0.6214679,-0.1950597
-1.1,505.5147,0.6313129,-0.2327549
-1.1,397.9953,0.6434904,-0.2836759
-1.1,315.5048,0.6577247,-0.3447815
-1.1,252.4038,0.6746736,-0.4169897
-1.1,198.6229,0.6972299,-0.5122187
-1.1,158.3615,0.7251387,-0.6235244
-1.1,125.558,0.7612535,-0.7625895
-1.1,100.4464,0.8077067,-0.9209536
-1.1,79.00281,0.8723142,-1.134309
-1.1,63.3446,0.951657,-1.373789
-1.1,50.22321,1.059683,-1.66953
-1.1,38.42213,1.244406,-2.090072
-1.1,31.25,1.441231,-2.477604
-1.1,24.93351,1.729172,-2.963975
-1.1,19.86229,2.123208,-3.514447
-1.1,15.625,2.683355,-4.149064
-1.1,12.40079,3.394853,-4.779233
-1.1,9.93114,4.248448,-5.370183
-1.1,7.944915,5.269219,-5.837093
-1.1,6.317385,6.477149,-6.212692
-1.1,5.008013,7.827209,-6.409396
-1.1,3.945707,9.127633,-6.244789
-1.1,3.158693,10.36666,-6.030359
-1.1,2.504006,11.20526,-5.381088
-1.1,1.998082,12.14654,-4.929913
-1.1,1.584686,12.99887,-4.43057
-1.1,1.266892,13.66349,-3.94341
-1.1,0.999041,14.28835,-3.457237
