vdc,freq,zReal,zImag
-1.2,100078.1,0.5524384,0.0415526
-1.2,79453.13,0.5487523,0.0283537
-1.2,63140.62,0.5477389,0.0186178
-1.2,50203.12,0.5478387,0.0101597
-1.2,39890.62,0.5486367,0.0027478
-1.2,31640.63,0.549852,-0.0028696
-1.2,25171.88,0.5509688,-0.0084667
-1.2,20015.62,0.5525962,-0.0135894
-1.2,15890.62,0.5555981,-0.0189423
-1.2,12609.37,0.5584738,-0.0245109
-1.2,10078.13,0.5615196,-0.0299313
-1.2,8015.625,0.564081,-0.0364247
-1.2,6328.125,0.5689799,-0.0434872
-1.2,5015.625,0.5731241,-0.0519494
-1.2,3984.375,0.5778113,-0.0613905
-1.2,3170.956,0.5832975,-0.0729114
-1.2,2527.573,0.5895509,-0.0859846
-1.2,1976.103,0.597101,-0.1029701
-1.2,1577.524,0.6053796,-0.1220428
-1.2,1265.625,0.6152837,-0.1448918
-1.2,998.264,0.6280619,-0.1735699
-1.2,796.875,0.6390972,-0.2051439
-1.2,627.7902,0.6607424,-0.2466267
-1.2,505.5147,0.6844098,-0.2916603
-1.2,397.9953,0.7206502,-0.3511492
-1.2,315.5048,0.7653285,-0.4155815
-1.2,252.4038,0.8269023,-0.4825071
-1.2,198.6229,0.9151303,-0.5601518
-1.2,158.3615,1.021658,-0.630378
-1.2,125.558,1.1556,-0.6897954
-1.2,100.4464,1.301375,-0.7212101
-1.2,79.00281,1.470626,-0.7279968
-1.2,63.3446,1.626332,-0.7029983
-1.2,50.22321,1.768799,-0.6467499
-1.2,38.42213,1.901916,-0.5553307
-1.2,31.25,1.982041,-0.4793818
-1.2,24.93351,2.049122,-0.3972871
-1.2,19.86229,2.091963,-0.3207505
-1.2,15.625,2.123784,-0.2502892
-1.2,12.40079,2.142349,-0.191815
-1.2,9.93114,2.153434,-0.1464183
-1.2,7.944915,2.160718,-0.1072853
-1.2,6.317385,2.148185,-0.073861
-1.2,5.008013,2.150529,-0.0507833
-1.2,3.945707,2.153289,-0.0292267
-1.2,3.158693,2.152846,-0.0127144
-1.2,2.504006,2.149458,0.0010118
-1.2,1.998082,2.13833,0.0104895
-1.2,1.584686,2.136665,0.0177314
-1.2,1.266892,2.133897,0.0195601
-1.2,0.999041,2.114255,0.0264759
