vdc,freq,zReal,zImag
0.6,100078.1,0.550155,0.0514887
0.6,79453.13,0.5455464,0.0395436
0.6,63140.62,0.5428389,0.0308157
0.6,50203.12,0.5415491,0.02381
0.6,39890.62,0.5404102,0.0183518
0.6,31640.63,0.5398175,0.0139578
0.6,25171.88,0.5384903,0.0104332
0.6,20015.62,0.5382071,0.0073768
0.6,15890.62,0.5386153,0.0049329
0.6,12609.37,0.5390556,0.0026286
0.6,10078.13,0.53986,0.0009333
0.6,8015.625,0.5406178,-0.0006753
0.6,6328.125,0.5413342,-0.0025084
0.6,5015.625,0.5418323,-0.0039739
0.6,3984.375,0.5414168,-0.0050854
0.6,3170.956,0.5406072,-0.0061564
0.6,2527.573,0.5420513,-0.0073636
0.6,1976.103,0.5435531,-0.0082393
0.6,1577.524,0.5450102,-0.0096189
0.6,1265.625,0.5467616,-0.0102649
0.6,998.264,0.5487426,-0.0114965
0.6,796.875,0.5504844,-0.0122841
0.6,627.7902,0.5529232,-0.0134629
0.6,505.5147,0.5545441,-0.0143766
0.6,397.9953,0.5569487,-0.0157213
0.6,315.5048,0.5590341,-0.0169674
0.6,252.4038,0.5616471,-0.0182309
0.6,198.6229,0.5644134,-0.0198506
0.6,158.3615,0.5670808,-0.0216999
0.6,125.558,0.5701021,-0.0237069
0.6,100.4464,0.5728707,-0.0259381
0.6,79.00281,0.5762719,-0.0285593
0.6,63.3446,0.5801006,-0.0315298
0.6,50.22321,0.5833087,-0.0343983
0.6,38.42213,0.5840145,-0.0390625
0.6,31.25,0.5881692,-0.0438208
0.6,24.93351,0.5926123,-0.0495921
0.6,19.86229,0.598515,-0.0575194
0.6,15.625,0.6051551,-0.0664038
0.6,12.40079,0.6124741,-0.0762353
0.6,9.93114,0.6220021,-0.0884749
0.6,7.944915,0.6314201,-0.1015695
0.6,6.317385,0.6438771,-0.1163702
0.6,5.008013,0.6634797,-0.1337375
0.6,3.945707,0.6884168,-0.1523898
0.6,3.158693,0.7170075,-0.1677938
0.6,2.504006,0.7533428,-0.1805052
0.6,1.998082,0.7914345,-0.1887455
0.6,1.584686,0.8289914,-0.1894333
0.6,1.266892,0.8692884,-0.1830505
0.6,0.999041,0.9094363,-0.1706748
0.6,0.7923428,0.9379408,-0.1484245
0.6,0.633446,0.95553,-0.1315407
0.6,0.5040323,0.972912,-0.1117177
0.6,0.400641,0.991954,-0.0948127
0.6,0.316723,1.003565,-0.0771264
0.6,0.2520161,1.011944,-0.0638906
0.6,0.2003205,1.010505,-0.0527381
0.6,0.1588983,1.019606,-0.0446297
0.6,0.1260081,1.030384,-0.035019
0.6,0.1001603,1.023314,-0.031887
